payment_id,customer_id,subscription_id,amount,payment_status,payment_date,payment_method
1,1,1,9999.00,SUCCESS,2026-01-23 08:06:00,CARD
2,1,1,9999.00,SUCCESS,2026-02-18 14:13:00,WALLET
3,1,1,9999.00,SUCCESS,2026-03-12 11:04:00,UPI
4,1,1,9999.00,SUCCESS,2026-04-11 15:25:00,WALLET
5,1,1,9999.00,SUCCESS,2026-05-06 17:44:00,WALLET
6,1,1,9999.00,SUCCESS,2026-06-04 16:32:00,NET_BANKING
7,1,1,9999.00,SUCCESS,2026-07-09 18:47:00,CARD
8,1,1,9999.00,SUCCESS,2026-08-06 13:05:00,CARD
9,2,2,999.00,FAILED,2026-06-18 09:09:00,WALLET
10,2,2,999.00,SUCCESS,2026-07-08 12:45:00,WALLET
11,2,2,999.00,SUCCESS,2026-08-17 09:29:00,UPI
12,3,3,2499.00,SUCCESS,2026-03-19 19:07:00,WALLET
13,3,3,2499.00,SUCCESS,2026-04-20 16:58:00,WALLET
14,3,3,2499.00,SUCCESS,2026-05-13 10:31:00,NET_BANKING
15,3,3,2499.00,SUCCESS,2026-06-16 18:06:00,NET_BANKING
16,3,3,2499.00,SUCCESS,2026-07-13 11:25:00,NET_BANKING
17,3,3,2499.00,SUCCESS,2026-08-24 15:34:00,WALLET
18,4,4,2499.00,SUCCESS,2026-03-15 09:40:00,WALLET
19,4,4,2499.00,SUCCESS,2026-04-17 08:03:00,UPI
20,4,4,2499.00,SUCCESS,2026-05-25 11:21:00,WALLET
21,4,4,2499.00,SUCCESS,2026-06-18 12:45:00,WALLET
22,4,4,2499.00,SUCCESS,2026-07-01 11:55:00,WALLET
23,4,4,2499.00,SUCCESS,2026-08-06 11:00:00,CARD
24,5,5,999.00,SUCCESS,2026-04-09 13:18:00,WALLET
25,5,5,999.00,SUCCESS,2026-05-16 15:38:00,WALLET
26,5,5,999.00,SUCCESS,2026-06-08 12:15:00,NET_BANKING
27,6,6,2499.00,SUCCESS,2026-06-09 20:23:00,CARD
28,6,6,2499.00,SUCCESS,2026-07-10 13:37:00,CARD
29,6,6,2499.00,SUCCESS,2026-08-08 13:49:00,CARD
30,7,7,2499.00,SUCCESS,2026-01-05 13:03:00,UPI
31,7,7,2499.00,SUCCESS,2026-02-20 15:40:00,UPI
32,7,7,2499.00,SUCCESS,2026-03-04 18:49:00,WALLET
33,7,7,2499.00,SUCCESS,2026-04-20 08:45:00,NET_BANKING
34,7,7,2499.00,SUCCESS,2026-05-20 09:03:00,UPI
35,7,7,2499.00,SUCCESS,2026-06-13 08:03:00,CARD
36,7,7,2499.00,SUCCESS,2026-07-17 14:53:00,UPI
37,7,7,2499.00,SUCCESS,2026-08-09 09:59:00,WALLET
38,8,8,9999.00,PENDING,2026-01-22 09:34:00,CARD
39,8,8,9999.00,SUCCESS,2026-02-08 12:22:00,CARD
40,8,8,9999.00,PENDING,2026-03-03 20:04:00,WALLET
41,8,8,9999.00,SUCCESS,2026-04-09 17:22:00,NET_BANKING
42,8,8,9999.00,SUCCESS,2026-05-25 20:33:00,UPI
43,8,8,9999.00,SUCCESS,2026-06-21 13:25:00,CARD
44,8,8,9999.00,SUCCESS,2026-07-17 11:04:00,UPI
45,8,8,9999.00,SUCCESS,2026-08-24 15:03:00,CARD
46,9,9,2499.00,SUCCESS,2026-04-22 20:11:00,WALLET
47,9,9,2499.00,SUCCESS,2026-05-18 16:16:00,NET_BANKING
48,9,9,2499.00,SUCCESS,2026-06-17 10:18:00,WALLET
49,9,9,2499.00,SUCCESS,2026-07-12 08:10:00,UPI
50,9,9,2499.00,SUCCESS,2026-08-06 16:44:00,CARD
51,10,10,999.00,FAILED,2026-02-23 17:23:00,WALLET
52,10,10,999.00,FAILED,2026-03-25 12:33:00,NET_BANKING
53,10,10,999.00,SUCCESS,2026-04-05 09:48:00,CARD
54,11,11,2499.00,SUCCESS,2026-05-06 19:34:00,CARD
55,11,11,2499.00,SUCCESS,2026-06-18 20:40:00,UPI
56,11,11,2499.00,SUCCESS,2026-07-22 18:21:00,UPI
57,11,11,2499.00,SUCCESS,2026-08-14 09:39:00,WALLET
58,12,12,2499.00,SUCCESS,2026-07-23 17:57:00,CARD
59,12,12,2499.00,SUCCESS,2026-08-03 15:34:00,CARD
60,13,13,999.00,SUCCESS,2026-01-06 14:32:00,UPI
61,13,13,999.00,SUCCESS,2026-02-10 15:33:00,NET_BANKING
62,13,13,999.00,SUCCESS,2026-03-24 13:32:00,NET_BANKING
63,13,13,999.00,SUCCESS,2026-04-06 08:11:00,CARD
64,13,13,999.00,SUCCESS,2026-05-03 11:03:00,CARD
65,13,13,999.00,SUCCESS,2026-06-25 13:05:00,NET_BANKING
66,13,13,999.00,SUCCESS,2026-07-01 19:35:00,CARD
67,13,13,999.00,FAILED,2026-08-06 18:00:00,CARD
68,14,14,999.00,SUCCESS,2026-05-21 09:42:00,CARD
69,14,14,999.00,SUCCESS,2026-06-04 09:47:00,WALLET
70,14,14,999.00,SUCCESS,2026-07-09 08:56:00,NET_BANKING
71,14,14,999.00,SUCCESS,2026-08-23 09:24:00,WALLET
72,15,15,2499.00,SUCCESS,2026-02-23 11:26:00,CARD
73,15,15,2499.00,SUCCESS,2026-03-18 13:08:00,CARD
74,15,15,2499.00,SUCCESS,2026-04-18 09:00:00,NET_BANKING
75,15,15,2499.00,SUCCESS,2026-05-05 17:02:00,UPI
76,15,15,2499.00,SUCCESS,2026-06-07 15:39:00,UPI
77,15,15,2499.00,SUCCESS,2026-07-08 15:22:00,UPI
78,15,15,2499.00,SUCCESS,2026-08-06 10:47:00,CARD
79,16,16,2499.00,FAILED,2026-01-17 16:14:00,CARD
80,16,16,2499.00,SUCCESS,2026-02-09 16:01:00,WALLET
81,16,16,2499.00,SUCCESS,2026-03-25 08:29:00,CARD
82,16,16,2499.00,SUCCESS,2026-04-04 15:05:00,WALLET
83,16,16,2499.00,SUCCESS,2026-05-15 17:36:00,UPI
84,16,16,2499.00,SUCCESS,2026-06-15 17:19:00,WALLET
85,16,16,2499.00,SUCCESS,2026-07-12 09:23:00,NET_BANKING
86,16,16,2499.00,SUCCESS,2026-08-06 14:13:00,WALLET
87,17,17,2499.00,SUCCESS,2026-01-17 17:45:00,NET_BANKING
88,17,17,2499.00,SUCCESS,2026-02-18 18:50:00,WALLET
89,17,17,2499.00,SUCCESS,2026-03-25 09:41:00,NET_BANKING
90,17,17,2499.00,SUCCESS,2026-04-10 08:15:00,NET_BANKING
91,17,17,2499.00,SUCCESS,2026-05-14 17:08:00,WALLET
92,17,17,2499.00,SUCCESS,2026-06-15 11:29:00,WALLET
93,17,17,2499.00,SUCCESS,2026-07-07 13:36:00,NET_BANKING
94,17,17,2499.00,SUCCESS,2026-08-22 08:12:00,NET_BANKING
95,18,18,999.00,SUCCESS,2026-01-11 13:24:00,NET_BANKING
96,18,18,999.00,SUCCESS,2026-02-05 17:40:00,UPI
97,18,18,999.00,SUCCESS,2026-03-19 08:20:00,CARD
98,18,18,999.00,SUCCESS,2026-04-03 17:21:00,NET_BANKING
99,18,18,999.00,SUCCESS,2026-05-08 10:10:00,WALLET
100,18,18,999.00,SUCCESS,2026-06-13 08:28:00,CARD
101,18,18,999.00,SUCCESS,2026-07-01 16:53:00,WALLET
102,18,18,999.00,SUCCESS,2026-08-23 14:16:00,CARD
103,19,19,999.00,SUCCESS,2026-01-20 09:23:00,NET_BANKING
104,19,19,999.00,PENDING,2026-02-12 19:01:00,WALLET
105,19,19,999.00,SUCCESS,2026-03-18 19:00:00,WALLET
106,19,19,999.00,SUCCESS,2026-04-25 14:10:00,CARD
107,19,19,999.00,SUCCESS,2026-05-10 16:33:00,UPI
108,19,19,999.00,SUCCESS,2026-06-13 20:51:00,CARD
109,19,19,999.00,SUCCESS,2026-07-07 19:58:00,CARD
110,19,19,999.00,SUCCESS,2026-08-24 19:13:00,WALLET
111,20,20,999.00,SUCCESS,2026-07-01 08:32:00,NET_BANKING
