product_id,product_code,product_name,category,unit_price,product_status
1,PRD001,Analytics Add-on,ADD_ON,1499.0,ACTIVE
2,PRD002,Automation Pack,ADD_ON,1999.0,ACTIVE
3,PRD003,Priority Support,SERVICE,2999.0,ACTIVE
4,PRD004,Data Export Pack,ADD_ON,999.0,ACTIVE
5,PRD005,Audit Toolkit,ADD_ON,2499.0,ACTIVE
6,PRD006,Onboarding Session,SERVICE,3499.0,ACTIVE
7,PRD007,Team Training,SERVICE,4999.0,ACTIVE
8,PRD008,Custom Dashboard,SERVICE,5999.0,ACTIVE
9,PRD009,Advanced Reporting,ADD_ON,1799.0,ACTIVE
10,PRD010,API Usage Pack,ADD_ON,1299.0,ACTIVE
11,PRD011,Storage Extension,ADD_ON,899.0,ACTIVE
12,PRD012,Security Review,SERVICE,4499.0,ACTIVE
13,PRD013,Migration Support,SERVICE,5499.0,ACTIVE
14,PRD014,Workflow Templates,ADD_ON,1199.0,ACTIVE
15,PRD015,Insights Pack,ADD_ON,1599.0,ACTIVE
16,PRD016,Consulting Hour,SERVICE,1999.0,ACTIVE
17,PRD017,Data Quality Pack,ADD_ON,2099.0,ACTIVE
18,PRD018,Governance Pack,ADD_ON,2599.0,ACTIVE
19,PRD019,Legacy Connector,ADD_ON,1399.0,INACTIVE
20,PRD020,Benchmark Report,SERVICE,999.0,ACTIVE
