refund_id,payment_id,customer_id,refund_amount,refund_reason,refund_date
1,7,1,9999.00,Service dissatisfaction,2026-07-14 13:52:00
2,45,8,2499.75,Duplicate charge,2026-08-31 13:36:00
3,91,17,2499.00,Service dissatisfaction,2026-05-20 14:51:00
4,138,25,2499.00,Plan change,2026-06-16 10:55:00
5,173,30,249.75,Order issue,2026-05-19 14:37:00
6,182,31,1249.50,Order issue,2026-06-12 14:35:00
7,225,42,2499.00,Duplicate charge,2026-07-14 10:57:00
8,226,42,2499.00,Duplicate charge,2026-08-10 13:34:00
9,278,50,249.75,Service dissatisfaction,2026-08-13 09:08:00
10,301,55,999.00,Plan change,2026-04-14 16:01:00
11,324,58,999.00,Service dissatisfaction,2026-06-18 17:01:00
12,361,66,4999.50,Order issue,2026-08-29 09:04:00
13,396,71,2499.00,Plan change,2026-04-03 18:42:00
14,398,71,1249.50,Order issue,2026-06-16 17:57:00
15,413,73,249.75,Plan change,2026-07-11 11:14:00
16,459,82,999.00,Billing correction,2026-05-13 18:29:00
17,483,86,2499.00,Duplicate charge,2026-08-27 15:27:00
18,533,97,499.50,Plan change,2026-08-02 14:42:00
19,541,99,499.50,Billing correction,2026-05-20 15:16:00
20,582,105,624.75,Service dissatisfaction,2026-02-12 09:21:00
21,593,108,2499.00,Billing correction,2026-03-19 15:09:00
22,596,108,2499.00,Service dissatisfaction,2026-06-09 09:00:00
23,598,108,2499.00,Duplicate charge,2026-08-10 09:43:00
24,653,122,1249.50,Duplicate charge,2026-06-24 16:24:00
25,656,124,2499.00,Duplicate charge,2026-08-11 12:11:00
26,665,126,624.75,Duplicate charge,2026-05-29 14:40:00
27,687,129,499.50,Billing correction,2026-07-11 14:45:00
28,728,137,2499.00,Service dissatisfaction,2026-08-22 12:11:00
29,781,148,624.75,Service dissatisfaction,2026-08-29 16:01:00
30,801,152,999.00,Service dissatisfaction,2026-07-15 15:45:00
31,840,164,1249.50,Plan change,2026-05-02 12:45:00
32,842,164,2499.00,Plan change,2026-07-22 12:34:00
33,858,167,2499.75,Plan change,2026-08-16 17:06:00
34,925,186,999.00,Plan change,2026-02-08 10:59:00
35,932,188,4999.50,Service dissatisfaction,2026-05-02 15:07:00
36,958,192,2499.00,Order issue,2026-08-02 13:37:00
37,967,195,624.75,Plan change,2026-08-15 09:19:00
38,974,196,499.50,Billing correction,2026-07-27 14:55:00
39,1010,204,249.75,Order issue,2026-08-20 17:50:00
40,1012,206,999.00,Billing correction,2026-01-16 15:16:00
41,1027,208,1249.50,Order issue,2026-01-22 15:51:00
42,1040,211,249.75,Plan change,2026-04-23 17:09:00
43,1047,212,2499.75,Order issue,2026-08-31 11:37:00
44,1085,218,999.00,Service dissatisfaction,2026-07-17 17:08:00
45,1086,218,999.00,Billing correction,2026-08-31 18:17:00
46,1138,232,624.75,Service dissatisfaction,2026-06-03 15:43:00
47,1151,236,1249.50,Duplicate charge,2026-02-15 12:51:00
48,1152,236,2499.00,Plan change,2026-03-18 15:18:00
49,1159,237,2499.00,Plan change,2026-06-19 16:17:00
50,1217,251,9999.00,Order issue,2026-08-25 18:53:00
51,1243,258,999.00,Order issue,2026-04-25 15:08:00
52,1294,266,999.00,Billing correction,2026-06-18 10:46:00
53,1307,268,249.75,Service dissatisfaction,2026-08-14 11:11:00
54,1339,277,2499.00,Duplicate charge,2026-05-18 17:06:00
55,1355,281,999.00,Duplicate charge,2026-02-18 15:26:00
56,1381,284,2499.75,Duplicate charge,2026-05-26 15:17:00
57,1390,286,999.00,Order issue,2026-08-05 17:02:00
58,1391,288,2499.00,Duplicate charge,2026-08-22 10:35:00
59,1399,290,249.75,Duplicate charge,2026-05-13 17:14:00
60,1435,295,2499.00,Plan change,2026-07-27 11:14:00
61,1436,295,1249.50,Duplicate charge,2026-08-19 14:06:00
62,1465,301,999.00,Plan change,2026-05-27 17:47:00
63,1490,305,1249.50,Duplicate charge,2026-03-19 11:35:00
64,1501,309,999.00,Plan change,2026-01-26 14:07:00
65,1507,309,249.75,Plan change,2026-08-02 10:44:00
66,1508,309,499.50,Plan change,2026-08-12 13:45:00
67,1515,312,2499.00,Duplicate charge,2026-02-03 18:11:00
68,1516,312,1249.50,Service dissatisfaction,2026-03-09 11:44:00
69,1525,313,499.50,Duplicate charge,2026-06-10 18:27:00
70,1541,316,499.50,Order issue,2026-08-15 11:45:00
71,1610,330,9999.00,Plan change,2026-08-05 13:44:00
72,1612,331,1249.50,Order issue,2026-01-10 16:46:00
73,1650,337,624.75,Service dissatisfaction,2026-06-26 13:30:00
74,1669,341,999.00,Service dissatisfaction,2026-07-01 10:21:00
75,1717,349,999.00,Service dissatisfaction,2026-02-19 15:00:00
76,1795,366,624.75,Service dissatisfaction,2026-06-05 17:08:00
77,1814,368,249.75,Service dissatisfaction,2026-08-20 11:04:00
78,1824,370,1249.50,Plan change,2026-05-10 10:49:00
79,1859,378,624.75,Service dissatisfaction,2026-03-10 11:42:00
80,1910,385,499.50,Plan change,2026-06-10 13:15:00
81,1913,387,2499.75,Order issue,2026-06-10 13:42:00
82,1983,398,249.75,Billing correction,2026-05-02 10:54:00
83,2006,402,1249.50,Billing correction,2026-08-20 15:30:00
84,2051,411,499.50,Order issue,2026-07-16 13:29:00
85,2062,413,1249.50,Plan change,2026-08-28 14:33:00
86,2106,424,1249.50,Service dissatisfaction,2026-06-20 17:22:00
87,2112,425,249.75,Billing correction,2026-04-08 11:22:00
88,2116,425,249.75,Plan change,2026-08-25 10:38:00
89,2169,436,9999.00,Order issue,2026-08-15 10:18:00
90,2174,437,1249.50,Duplicate charge,2026-08-23 10:41:00
