subscription_id,customer_id,plan_name,subscription_status,start_date,end_date,monthly_price
1,1,ENTERPRISE,ACTIVE,2025-07-15,,9999.00
2,2,BASIC,ACTIVE,2026-05-10,,999.00
3,3,PRO,ACTIVE,2026-02-26,,2499.00
4,4,PRO,ACTIVE,2026-02-22,,2499.00
5,5,BASIC,CANCELLED,2026-03-16,2026-06-23,999.00
6,6,PRO,ACTIVE,2026-05-30,,2499.00
7,7,PRO,ACTIVE,2025-10-23,,2499.00
8,8,ENTERPRISE,ACTIVE,2025-12-28,,9999.00
9,9,PRO,ACTIVE,2026-04-03,,2499.00
10,10,BASIC,CANCELLED,2026-01-06,2026-05-17,999.00
11,11,PRO,ACTIVE,2026-04-17,,2499.00
12,12,PRO,ACTIVE,2026-07-23,,2499.00
13,13,BASIC,ACTIVE,2025-12-09,,999.00
14,14,BASIC,ACTIVE,2026-05-12,,999.00
15,15,PRO,ACTIVE,2026-02-18,,2499.00
16,16,PRO,ACTIVE,2025-11-02,,2499.00
17,17,PRO,ACTIVE,2025-02-08,,2499.00
18,18,BASIC,ACTIVE,2025-11-02,,999.00
19,19,BASIC,ACTIVE,2025-11-06,,999.00
20,20,BASIC,ACTIVE,2026-06-10,,999.00
21,21,PRO,ACTIVE,2026-03-23,,2499.00
22,22,PRO,ACTIVE,2026-04-03,,2499.00
23,23,BASIC,ACTIVE,2025-05-20,,999.00
24,24,PRO,ACTIVE,2025-09-15,,2499.00
25,25,PRO,ACTIVE,2026-06-09,,2499.00
26,26,PRO,ACTIVE,2025-11-06,,2499.00
27,27,BASIC,ACTIVE,2025-06-09,,999.00
28,28,PRO,ACTIVE,2025-11-15,,2499.00
29,29,BASIC,EXPIRED,2025-05-02,2026-05-01,999.00
30,30,BASIC,ACTIVE,2025-11-27,,999.00
31,31,PRO,CANCELLED,2025-05-17,2026-08-19,2499.00
32,32,PRO,ACTIVE,2026-06-13,,2499.00
33,33,ENTERPRISE,ACTIVE,2026-07-03,,9999.00
34,34,PRO,EXPIRED,2025-06-08,2026-04-04,2499.00
35,35,BASIC,ACTIVE,2025-09-26,,999.00
36,36,BASIC,ACTIVE,2026-01-27,,999.00
37,37,BASIC,ACTIVE,2025-12-02,,999.00
38,38,PRO,ACTIVE,2026-07-08,,2499.00
39,39,BASIC,CANCELLED,2026-02-26,2026-05-10,999.00
40,40,FREE,ACTIVE,2026-04-29,,0.00
41,41,BASIC,ACTIVE,2026-05-04,,999.00
42,42,PRO,ACTIVE,2026-06-07,,2499.00
43,43,PRO,ACTIVE,2025-04-29,,2499.00
44,44,ENTERPRISE,ACTIVE,2025-07-25,,9999.00
45,45,ENTERPRISE,ACTIVE,2026-02-28,,9999.00
46,46,BASIC,ACTIVE,2026-06-19,,999.00
47,47,BASIC,ACTIVE,2025-11-08,,999.00
48,48,BASIC,ACTIVE,2025-08-11,,999.00
49,49,PRO,ACTIVE,2026-05-03,,2499.00
50,50,BASIC,ACTIVE,2025-09-13,,999.00
51,51,PRO,ACTIVE,2026-03-25,,2499.00
52,52,BASIC,ACTIVE,2026-04-11,,999.00
53,53,ENTERPRISE,ACTIVE,2025-12-24,,9999.00
54,54,PRO,ACTIVE,2026-06-23,,2499.00
55,55,BASIC,ACTIVE,2025-10-06,,999.00
56,56,BASIC,ACTIVE,2025-05-04,,999.00
57,57,PRO,ACTIVE,2025-12-10,,2499.00
58,58,BASIC,ACTIVE,2026-04-09,,999.00
59,59,PRO,CANCELLED,2026-05-06,2026-08-09,2499.00
60,60,BASIC,ACTIVE,2025-09-29,,999.00
61,61,BASIC,CANCELLED,2025-07-15,2026-07-11,999.00
62,62,BASIC,CANCELLED,2025-12-27,2026-07-18,999.00
63,63,PRO,ACTIVE,2025-12-05,,2499.00
64,64,FREE,ACTIVE,2026-01-05,,0.00
65,65,FREE,EXPIRED,2025-12-27,2026-04-02,0.00
66,66,ENTERPRISE,ACTIVE,2026-06-04,,9999.00
67,67,PRO,ACTIVE,2026-01-21,,2499.00
68,68,PRO,CANCELLED,2025-12-19,2026-08-26,2499.00
69,69,PRO,ACTIVE,2025-05-22,,2499.00
70,70,PRO,ACTIVE,2025-12-02,,2499.00
71,71,PRO,ACTIVE,2025-05-28,,2499.00
72,72,BASIC,ACTIVE,2025-06-20,,999.00
73,73,BASIC,ACTIVE,2026-02-28,,999.00
74,74,BASIC,EXPIRED,2025-10-28,2026-02-27,999.00
75,75,PRO,ACTIVE,2025-06-30,,2499.00
76,76,BASIC,ACTIVE,2025-12-30,,999.00
77,77,PRO,EXPIRED,2026-06-13,2026-07-02,2499.00
78,78,BASIC,ACTIVE,2025-12-17,,999.00
79,79,BASIC,ACTIVE,2026-03-14,,999.00
80,80,BASIC,EXPIRED,2026-07-27,2026-07-31,999.00
81,81,BASIC,ACTIVE,2025-09-27,,999.00
82,82,BASIC,ACTIVE,2025-09-09,,999.00
83,83,PRO,ACTIVE,2026-05-07,,2499.00
84,84,PRO,ACTIVE,2025-12-26,,2499.00
85,85,BASIC,CANCELLED,2025-11-13,2026-03-14,999.00
86,86,PRO,ACTIVE,2025-12-17,,2499.00
87,87,PRO,ACTIVE,2026-06-20,,2499.00
88,88,BASIC,ACTIVE,2026-04-01,,999.00
89,89,PRO,ACTIVE,2026-07-26,,2499.00
90,90,PRO,ACTIVE,2025-03-20,,2499.00
91,91,BASIC,ACTIVE,2026-03-12,,999.00
92,92,FREE,ACTIVE,2026-05-25,,0.00
93,93,PRO,ACTIVE,2026-01-08,,2499.00
94,94,PRO,ACTIVE,2026-03-25,,2499.00
95,95,BASIC,ACTIVE,2026-07-11,,999.00
96,96,PRO,CANCELLED,2025-09-25,2026-08-06,2499.00
97,97,BASIC,ACTIVE,2025-09-06,,999.00
98,98,BASIC,ACTIVE,2026-06-21,,999.00
99,99,BASIC,ACTIVE,2025-10-16,,999.00
100,100,PRO,ACTIVE,2026-03-04,,2499.00
101,101,ENTERPRISE,ACTIVE,2026-02-03,,9999.00
102,102,BASIC,ACTIVE,2025-05-15,,999.00
103,103,ENTERPRISE,ACTIVE,2025-10-14,,9999.00
